family,seed,scope,collector,partition,regime,case,age,declared_case_count,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match,episode_weighted_raw_gap,episodes,nonquery_rows,supported_case_count,supported_cases,supported_episode_agreement,supported_episode_centered_mse,supported_episode_raw_gap,supported_episodes,weight_mass,zero_support_cases,zero_support_episode_ids
hold,,full,all,case,lambda4,2,1,1,0.5,0.0788375056333545,0.16666666666666666,0.24885034561157227,3,4,1,"[{""case"":2,""regime"":""lambda4""}]",0.5,0.0788375056333545,0.24885034561157227,3,1.0,[],[]
hold,,full,all,case,lambda4,2,2,1,0.16666666666666666,0.07904328841559997,0.16666666666666666,0.5981489817301432,3,4,1,"[{""case"":2,""regime"":""lambda4""}]",0.16666666666666666,0.07904328841559997,0.5981489817301432,3,1.0,[],[]
hold,,full,all,case,lambda4,2,3,1,0.0,0.10432270920242104,0.0,0.5537341435750326,3,3,1,"[{""case"":2,""regime"":""lambda4""}]",0.0,0.15648406380363156,0.8306012153625488,2,0.6666666666666666,[],"[""valid:lambda4:254000003:analytic""]"
hold,,full,all,case,lambda4,3,all,1,0.4365079365079365,0.08322288971320667,0.4365079365079365,0.16754384898634814,3,42,1,"[{""case"":3,""regime"":""lambda4""}]",0.4365079365079365,0.08322288971320667,0.16754384898634814,3,1.0,[],[]
hold,,full,all,case,lambda4,3,1,1,0.4523809523809524,0.027231417649071023,0.4523809523809524,0.12098471323649089,3,14,1,"[{""case"":3,""regime"":""lambda4""}]",0.4523809523809524,0.027231417649071023,0.12098471323649089,3,1.0,[],[]
hold,,full,all,case,lambda4,3,2,1,0.4523809523809524,0.0841369898245767,0.4523809523809524,0.15507189054337758,3,14,1,"[{""case"":3,""regime"":""lambda4""}]",0.4523809523809524,0.0841369898245767,0.15507189054337758,3,1.0,[],[]
hold,,full,all,case,lambda4,3,3,1,0.4047619047619048,0.13830026166597228,0.4047619047619048,0.22657494317917595,3,14,1,"[{""case"":3,""regime"":""lambda4""}]",0.4047619047619048,0.13830026166597228,0.22657494317917595,3,1.0,[],[]
hold,,full,all,case,lambda4,4,all,1,0.6192504589649301,0.07524727599482887,0.6192504589649301,0.12313597205620164,3,191,1,"[{""case"":4,""regime"":""lambda4""}]",0.6192504589649301,0.07524727599482887,0.12313597205620164,3,1.0,[],[]
hold,,full,all,case,lambda4,4,1,1,0.7111204013377926,0.038462372414118116,0.7111204013377926,0.07015225866034942,3,65,1,"[{""case"":4,""regime"":""lambda4""}]",0.7111204013377926,0.038462372414118116,0.07015225866034942,3,1.0,[],[]
hold,,full,all,case,lambda4,4,2,1,0.6299922299922299,0.06969792027630087,0.6299922299922299,0.11427447256786284,3,63,1,"[{""case"":4,""regime"":""lambda4""}]",0.6299922299922299,0.06969792027630087,0.11427447256786284,3,1.0,[],[]
hold,,full,all,case,lambda4,4,3,1,0.5144522144522145,0.11898167137057673,0.5144522144522145,0.18753227294649186,3,63,1,"[{""case"":4,""regime"":""lambda4""}]",0.5144522144522145,0.11898167137057673,0.18753227294649186,3,1.0,[],[]
hold,,full,all,case,lambda4,5,all,1,0.31647369490148286,0.46442673301647835,0.31647369490148286,0.7653984907751957,3,1665,1,"[{""case"":5,""regime"":""lambda4""}]",0.31647369490148286,0.46442673301647835,0.7653984907751957,3,1.0,[],[]
hold,,full,all,case,lambda4,5,1,1,0.6969835466179158,0.08027450271554702,0.6969835466179158,0.13466517995000973,3,555,1,"[{""case"":5,""regime"":""lambda4""}]",0.6969835466179158,0.08027450271554702,0.13466517995000973,3,1.0,[],[]
hold,,full,all,case,lambda4,5,2,1,0.1691042047531993,0.42225911021397833,0.1691042047531993,1.0179171969729326,3,555,1,"[{""case"":5,""regime"":""lambda4""}]",0.1691042047531993,0.42225911021397833,1.0179171969729326,3,1.0,[],[]
hold,,full,all,case,lambda4,5,3,1,0.08333333333333333,0.8907465861199096,0.08333333333333333,1.1436130954026449,3,555,1,"[{""case"":5,""regime"":""lambda4""}]",0.08333333333333333,0.8907465861199096,1.1436130954026449,3,1.0,[],[]
