family,seed,regime,scope,metric,raw_value,display_value,episodes,supported_episodes,supported_cases,weight_mass
innovation_separate_aux,285000003,lambda3,prior,episode_weighted_centered_mse,0.07221034577084673,0.07221034577084673,18,17,6,0.9444444444444444
innovation_separate_aux,285000003,lambda4,initial,episode_weighted_agreement,0.6481481481481481,64.81481481481481,18,16,6,0.8888888888888888
innovation_separate_aux,285000003,lambda4,full,episode_weighted_agreement,0.5972377157989788,59.72377157989788,18,16,6,0.8888888888888888
innovation_separate_aux,285000003,lambda4,postcorrection,episode_weighted_raw_gap,0.1326331615548269,0.1326331615548269,18,14,6,0.7777777777777778
innovation_separate_aux,285000003,lambda4,prior,episode_weighted_centered_mse,0.09235779163650452,0.09235779163650452,18,14,6,0.7777777777777778
gru_shared_mse,285000003,lambda3,initial,episode_weighted_agreement,0.8703703703703703,87.03703703703704,18,18,6,1.0
gru_shared_mse,285000003,lambda3,full,episode_weighted_agreement,0.736503143086384,73.6503143086384,18,18,6,1.0
gru_shared_mse,285000003,lambda3,postcorrection,episode_weighted_raw_gap,0.0953696390776869,0.0953696390776869,18,15,6,0.8333333333333334
gru_shared_mse,285000003,lambda3,prior,episode_weighted_centered_mse,0.09840799317585111,0.09840799317585111,18,17,6,0.9444444444444444
gru_shared_mse,285000003,lambda4,initial,episode_weighted_agreement,0.6111111111111112,61.111111111111114,18,16,6,0.8888888888888888
gru_shared_mse,285000003,lambda4,full,episode_weighted_agreement,0.5937691122184785,59.37691122184785,18,16,6,0.8888888888888888
gru_shared_mse,285000003,lambda4,postcorrection,episode_weighted_raw_gap,0.10822279213354943,0.10822279213354943,18,14,6,0.7777777777777778
gru_shared_mse,285000003,lambda4,prior,episode_weighted_centered_mse,0.10553527388229353,0.10553527388229353,18,14,6,0.7777777777777778
gru_shared_aux,285000003,lambda3,initial,episode_weighted_agreement,0.9629629629629629,96.29629629629629,18,18,6,1.0
gru_shared_aux,285000003,lambda3,full,episode_weighted_agreement,0.7700982743608622,77.00982743608623,18,18,6,1.0
gru_shared_aux,285000003,lambda3,postcorrection,episode_weighted_raw_gap,0.09185793676623762,0.09185793676623762,18,15,6,0.8333333333333334
gru_shared_aux,285000003,lambda3,prior,episode_weighted_centered_mse,0.08188504412288888,0.08188504412288888,18,17,6,0.9444444444444444
gru_shared_aux,285000003,lambda4,initial,episode_weighted_agreement,0.5740740740740741,57.407407407407405,18,16,6,0.8888888888888888
gru_shared_aux,285000003,lambda4,full,episode_weighted_agreement,0.6245667030189135,62.45667030189135,18,16,6,0.8888888888888888
gru_shared_aux,285000003,lambda4,postcorrection,episode_weighted_raw_gap,0.08570731717070737,0.08570731717070737,18,14,6,0.7777777777777778
gru_shared_aux,285000003,lambda4,prior,episode_weighted_centered_mse,0.08537244668102235,0.08537244668102235,18,14,6,0.7777777777777778
gru_separate_mse,285000003,lambda3,initial,episode_weighted_agreement,0.925925925925926,92.59259259259261,18,18,6,1.0
gru_separate_mse,285000003,lambda3,full,episode_weighted_agreement,0.7852193091639048,78.52193091639049,18,18,6,1.0
gru_separate_mse,285000003,lambda3,postcorrection,episode_weighted_raw_gap,0.08905890662699338,0.08905890662699338,18,15,6,0.8333333333333334
gru_separate_mse,285000003,lambda3,prior,episode_weighted_centered_mse,119.3049063991774,119.3049063991774,18,17,6,0.9444444444444444
gru_separate_mse,285000003,lambda4,initial,episode_weighted_agreement,0.6296296296296297,62.96296296296296,18,16,6,0.8888888888888888
gru_separate_mse,285000003,lambda4,full,episode_weighted_agreement,0.6258106186443274,62.58106186443274,18,16,6,0.8888888888888888
