recording,arm,seed,learning_rate,horizon,status,error_type,error_message,standardized_rmse,standardized_sse,scalars,physical_rmse_deg,windows,joint_1_rmse_deg,joint_2_rmse_deg,joint_3_rmse_deg,joint_4_rmse_deg,joint_5_rmse_deg,joint_6_rmse_deg
recording_2021_12_15_22H_50M.mat,dense_bounded,8101,0.001,128,PASS,,,0.6931530124446734,8117.870722978378,16896,20.11618554726772,22,10.95385224644622,7.233890528155258,12.880555390146725,35.102371432504434,21.049276338481654,20.35908281098149
recording_2021_12_15_22H_50M.mat,dense_bounded,8102,0.001,64,PASS,,,0.6094691108438028,3138.0315400704712,8448,17.030426457878672,22,9.209322215967797,5.015007557247516,12.487016736659882,27.550533367002146,22.882083280728594,13.845700577883163
recording_2021_12_15_22H_50M.mat,dense_bounded,8102,0.001,128,PASS,,,0.675894863008006,7718.664997242969,16896,19.394036034275572,22,11.356050068566802,5.931725499899983,14.364370133853063,31.58501876656006,22.62915280942607,19.4061707950868
recording_2021_12_15_22H_50M.mat,dense_bounded,8103,0.001,64,PASS,,,0.5886397053948285,2927.204144978239,8448,17.89375851663231,22,8.484377984158082,3.488044627724726,12.122224036191444,34.15124069715366,20.57488082261456,10.019339319681091
recording_2021_12_15_22H_50M.mat,dense_bounded,8103,0.001,128,PASS,,,0.6854376648831786,7938.159693074766,16896,21.270954855183618,22,10.879235108808755,4.705545291041737,12.921042378714777,40.31392948944137,21.921969095561185,17.36324375253198
recording_2021_12_15_22H_50M.mat,dense_unbounded,8101,0.003,64,PASS,,,0.7089830954051143,4246.446585809196,8448,20.849086943144503,22,8.152357375402715,4.779818919114558,15.298906017143672,38.02278221755287,26.149291575610327,12.458933169009615
recording_2021_12_15_22H_50M.mat,dense_unbounded,8101,0.003,128,PASS,,,0.8058090035502855,10971.048425824887,16896,24.616258880707218,22,11.509907492887795,5.933471505769992,16.248428269860675,45.558312318858235,26.21962694848155,21.000882676363492
recording_2021_12_15_22H_50M.mat,dense_unbounded,8102,0.003,64,PASS,,,0.652247343304441,3594.0038901693806,8448,17.825121419314637,22,8.387219606164585,5.360877944838318,13.292196649157095,28.163501313838946,25.92925792072072,12.85042965369807
recording_2021_12_15_22H_50M.mat,dense_unbounded,8102,0.003,128,PASS,,,0.7516990649562951,9547.109877992221,16896,22.52911734742195,22,10.908906092169271,5.456476728600753,14.203550759552126,38.20273994156972,26.34386978068918,23.267998024360278
recording_2021_12_15_22H_50M.mat,dense_unbounded,8103,0.003,64,PASS,,,0.6355420194233034,3412.262586607991,8448,19.45500864117348,22,10.201934545962388,4.272023743952058,12.895110193439477,37.49501394462883,20.729281629504573,12.115752454373023
recording_2021_12_15_22H_50M.mat,dense_unbounded,8103,0.003,128,PASS,,,0.7041963327764126,8378.599259217757,16896,22.1251280353455,22,11.531240661652458,4.799609240586146,12.694514494855083,41.72278091436191,21.873694030540662,20.018050539292865
recording_2021_12_15_22H_50M.mat,gru32,8101,0.003,64,PASS,,,0.6894247238726116,4015.388888643912,8448,19.0668538989832,22,8.877454609396306,6.809752228758166,13.884344397908713,26.560008056022284,24.787089413564846,23.312630288757436
recording_2021_12_15_22H_50M.mat,gru32,8101,0.003,128,PASS,,,0.7459505065576179,9401.646705514342,16896,21.286476326033814,22,11.976465704583417,7.2292628863075645,13.503202885081583,30.760862564747615,25.3215697849436,27.445171221248476
recording_2021_12_15_22H_50M.mat,gru32,8102,0.003,64,PASS,,,0.6444207617097658,3508.269541899681,8448,17.921249155027315,22,10.96794039378902,6.198328500341452,14.27026345584265,27.06350628376358,21.524082738837176,19.208126034592038
recording_2021_12_15_22H_50M.mat,gru32,8102,0.003,128,PASS,,,0.7527555890463807,9573.965944698164,16896,22.164418864706445,22,12.987329025530563,6.978639561895816,15.782218959884265,33.76740362363524,22.713020430542294,28.722802378097214
recording_2021_12_15_22H_50M.mat,gru32,8103,0.003,64,PASS,,,0.7185723423355436,4362.092791960693,8448,19.376692769559625,22,9.460260968940737,7.50644263532984,13.473003344133721,25.974095180809968,26.515784325417805,23.401535409296923
