recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,standardized_sse,scalars,windows,per_joint_rmse_deg,error
recording_2021_12_15_22H_10M.mat,lpv_recurrent,8101,0.003,64,PASS,0.5654057670290259,16.646420588581197,2700.6877403800254,8448,22,"[8.786130982367544, 4.531111628357108, 10.985133609713364, 29.038653663671372, 19.47405999538918, 14.890844855741465]",null
recording_2021_12_15_22H_10M.mat,lpv_recurrent,8101,0.003,128,PASS,0.6759480374059303,20.3544459131355,7719.879539715408,16896,22,"[11.080454852414263, 4.657008605785344, 12.336287685490804, 34.40008866230474, 23.548382019465357, 21.243356893991653]",null
recording_2021_12_15_22H_10M.mat,lpv_instant,8101,0.003,64,PASS,0.6686393111143075,19.438130615623024,3776.919407647928,8448,22,"[9.981922257352641, 5.6407033456830575, 12.145094771585715, 33.53544589978618, 23.727052128225843, 17.334554029177195]",null
recording_2021_12_15_22H_10M.mat,lpv_instant,8101,0.003,128,PASS,0.7113858781592667,21.20922265865041,8550.556483720306,16896,22,"[11.064049724027859, 5.525643550850383, 11.981943006612719, 36.81442801564696, 24.97657139012807, 20.575291857451578]",null
recording_2021_12_15_22H_10M.mat,lpv_constant,8101,0.003,64,PASS,0.6907198808973668,20.766193286885095,4030.48972226734,8448,22,"[13.394665081547766, 6.921173152908322, 13.53351742552603, 33.431741100282665, 17.644243240933143, 27.34835067900247]",null
recording_2021_12_15_22H_10M.mat,lpv_constant,8101,0.003,128,PASS,0.7532851876528952,22.87267923837623,9587.442145243902,16896,22,"[15.437849463097107, 7.0556660685557295, 13.833840321763557, 35.41701038911733, 19.980964443822963, 31.71542858732091]",null
recording_2021_12_15_22H_10M.mat,gru_residual,8101,0.003,64,PASS,0.6348588451522262,18.466262028653862,3404.9305236082196,8448,22,"[8.590472045688468, 5.5077143738459, 11.6194043271336, 28.428315605460316, 22.54089534984395, 22.149813182510393]",null
recording_2021_12_15_22H_10M.mat,gru_residual,8101,0.003,128,PASS,0.6962198934662013,20.547902435402104,8189.865278421466,16896,22,"[10.990194589876436, 5.539837716225463, 12.637900214301313, 31.267605311838295, 24.368581544780547, 25.507178551443207]",null
recording_2021_12_15_22H_10M.mat,lpv_recurrent,8102,0.001,64,PASS,0.6869310718081788,20.847667069526235,3986.394064566425,8448,22,"[9.616675837102862, 6.0612129032194995, 13.914186519063627, 36.33218200222407, 20.761388657641334, 23.105524943465664]",null
recording_2021_12_15_22H_10M.mat,lpv_recurrent,8102,0.001,128,PASS,0.8162897312539615,25.39499143264263,11258.29352272483,16896,22,"[13.303899011652542, 6.282132196881296, 15.084133026277174, 40.60733949032276, 24.791226978085923, 34.086399056176134]",null
recording_2021_12_15_22H_10M.mat,lpv_instant,8102,0.001,64,PASS,0.5649183692023483,15.902230603402243,2696.0335891082095,8448,22,"[9.277043208714796, 5.067084509822879, 15.013949327172975, 25.78418830617323, 17.612529692030726, 14.321400409766737]",null
recording_2021_12_15_22H_10M.mat,lpv_instant,8102,0.001,128,PASS,0.6596384303432455,19.09677873457801,7351.835822043199,16896,22,"[12.80912183987592, 5.5995840986367496, 15.410951035003487, 31.814506632956576, 20.2542807413954, 18.242715570471404]",null
recording_2021_12_15_22H_10M.mat,lpv_constant,8102,0.001,64,PASS,0.7055018221349858,21.90805333616411,4204.846872110314,8448,22,"[11.266377449862352, 6.644438408028381, 14.893065851700397, 36.969375622909915, 17.35235689722403, 28.619129074465032]",null
recording_2021_12_15_22H_10M.mat,lpv_constant,8102,0.001,128,PASS,0.785750782744686,24.836990459760962,10431.662927497353,16896,22,"[14.267738872165811, 6.839635130324568, 14.918766456778965, 40.11180514457371, 19.452062446087037, 35.227806508419285]",null
recording_2021_12_15_22H_10M.mat,gru_residual,8102,0.001,64,PASS,0.6980499959860176,20.312992050570926,4116.489036178077,8448,22,"[14.818287667943142, 5.669450271828658, 13.587688491928835, 31.199302692945324, 22.67335914071132, 23.492096089563688]",null
recording_2021_12_15_22H_10M.mat,gru_residual,8102,0.001,128,PASS,0.747625640983753,22.133212714893336,9443.919497656385,16896,22,"[16.584485855134186, 5.787104251223864, 13.425300438296073, 34.479202545276266, 23.91700083203461, 26.261413804027647]",null
recording_2021_12_15_22H_10M.mat,lpv_recurrent,8102,0.003,64,PASS,0.7478266756254945,22.593403752824898,4724.49953629276,8448,22,"[10.607835249280695, 6.107252610825857, 16.017289427384416, 41.103100415177664, 23.397896675527587, 20.480885296324647]",null
recording_2021_12_15_22H_10M.mat,lpv_recurrent,8102,0.003,128,PASS,0.7890718056770074,24.145550784048908,10520.029378034846,16896,22,"[13.39475003196865, 6.353321549216158, 15.500460290427581, 41.13694420143382, 23.831654985071523, 27.889092600681074]",null
recording_2021_12_15_22H_10M.mat,lpv_instant,8102,0.003,64,PASS,0.6147988529172516,18.112986080939415,3193.1550144246157,8448,22,"[12.499592162804696, 5.022884130012108, 12.947091631096695, 30.168154723804445, 18.96311646964272, 18.699408867801147]",null
