group,method,rows,dialogues,distinct_schema_queries,dialogue_query_streams,accuracy,nll,brier,equal_dialogue_accuracy,equal_dialogue_nll,equal_dialogue_brier
unseen/all,candidate,27229,1495,17,5681,0.9535544211441233,0.21371473645438774,0.07539080921815138,0.9477328127821595,0.24546343096868997,0.08614810101959029
unseen/changed,mean,1704,1125,15,1588,0.6860328638497654,1.4182947735939821,0.514576678262407,0.6871999999999999,1.3155286202285128,0.504116232484458
unseen/changed,slot,1704,1125,15,1588,0.697378716744914,1.5525051674078856,0.49734793821111484,0.6921481481481481,1.5514200947382557,0.5076341624516577
unseen/changed,candidate,1704,1125,15,1588,0.6864241001564945,1.5359311232032462,0.5121500476771725,0.6923012345679012,1.3948777845485012,0.5012929154130634
unseen/retained,mean,25525,1495,17,5674,0.9672086190009795,0.12480800468413196,0.05329254130733257,0.9660794127759017,0.12739831700919005,0.055371283746997624
unseen/retained,slot,25525,1495,17,5674,0.9733202742409403,0.11832442449064196,0.04447130552502606,0.9707097809740345,0.13881812046780886,0.04945879606823949
unseen/retained,candidate,25525,1495,17,5674,0.9713875285667646,0.1254461087160898,0.046233600899476666,0.968113724318131,0.1439043976112089,0.05160335133624904
unseen/transition/assigned_retention,mean,7572,1272,15,2104,0.9653988378235604,0.11426711365678001,0.05305307950605815,0.9696463959882409,0.10637576572641994,0.04733253796649146
unseen/transition/assigned_retention,slot,7572,1272,15,2104,0.9703292833245291,0.13791367571047955,0.049458189332854945,0.97310243516577,0.1367651382999953,0.04619241872429947
unseen/transition/assigned_retention,candidate,7572,1272,15,2104,0.9620091565416446,0.20387332399763672,0.06301180418622117,0.9673209711492518,0.19961444650231644,0.055586577319034915
unseen/transition/clear,mean,0,0,0,0,,,,,,
unseen/transition/clear,slot,0,0,0,0,,,,,,
unseen/transition/clear,candidate,0,0,0,0,,,,,,
unseen/transition/first_assignment,mean,1501,1094,15,1501,0.7084166111481235,1.329819195010147,0.4727258342109633,0.7084755230550477,1.2238554092207155,0.46635136305206054
unseen/transition/first_assignment,slot,1501,1094,15,1501,0.7024206084832333,1.5850471341294148,0.48959463217686877,0.7011578305911029,1.5309824761305302,0.49204671839634934
unseen/transition/first_assignment,candidate,1501,1094,15,1501,0.6904286031534532,1.575906157482273,0.506348722993354,0.6997460897826527,1.3923126782261692,0.48932154918942183
unseen/transition/revision,mean,203,196,11,203,0.5205254515599343,2.0724910467680533,0.824025530091062,0.5238095238095237,2.058261379992988,0.8175879386673888
unseen/transition/revision,slot,203,196,11,203,0.6600985221674877,1.3118869799743111,0.5546765705135951,0.6658163265306122,1.276208993019957,0.5426146283804875
