family,seed,regime,scope,episodes,supported_episodes,declared_case_count,supported_case_count,weight_mass,nonquery_rows,episode_weighted_raw_gap,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match
frozen_spo,301000003,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.08138065621633472,0.4643264377172423,0.09474756075540043,0.4643264377172423
joint_aux,301000003,lambda3,initial,18,18,6,6,1.0,54,0.021926544330738207,0.8518518518518519,0.02095616701000448,0.6666666666666666
joint_aux,301000003,lambda3,full,18,18,6,6,1.0,3631,0.10485541541577509,0.7166043948306914,0.08108959967552246,0.6495283421410658
joint_aux,301000003,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.1198803317575585,0.6394772781997504,0.09267110188788068,0.6299484120042176
joint_aux,301000003,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.02512757866470902,0.45370370370370366,0.017280826375371535,0.45370370370370366
joint_aux,301000003,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.04974712670934918,0.5777181084963217,0.04686365765603712,0.5777181084963217
joint_aux,301000003,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.05575189932213721,0.5194276030482927,0.04929663541656695,0.5194276030482927
joint_spo,301000003,lambda3,initial,18,18,6,6,1.0,54,0.030509595517758965,0.8703703703703703,0.052566119725428156,0.8333333333333334
joint_spo,301000003,lambda3,full,18,18,6,6,1.0,3631,0.12723961699553762,0.7314857035822087,0.2403673210253845,0.7231507984237203
joint_spo,301000003,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.13898071888286995,0.6755093111758897,0.27049270483261123,0.668202667202579
joint_spo,301000003,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.014870961507161459,0.6851851851851852,0.045609666235798665,0.6481481481481481
joint_spo,301000003,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.04505971263088761,0.6157311618167376,0.16708709348308642,0.6085236164623717
joint_spo,301000003,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.05062666377266631,0.48423322526770796,0.1771926018054687,0.4815008958687119
