block,regime,arm,choose_seconds,controller_seconds,environment_seconds,found,init_seconds,paid_controller_seconds,queries,setup_allocation_seconds,steps,update_seconds,success_percent,query_fraction
2,lambda5,analytic,0.02413616750337182,0.027964049029643424,0.11990563252594336,1.0,0.0001079544703443293,0.027964049029643424,0.0,0.0011369144976924872,70.44818357111473,0.0025830125582347865,100.0,0.0
2,lambda5,neural,3.9621634094159965,3.97595238166276,0.21534200805867276,1.0,7.768705035292676e-05,3.97595238166276,109.28689255395882,0.009474599990519495,109.28689255395882,0.004236685205890984,100.0,1.0
2,lambda5,period2,1.148421665539636,1.165105735423045,0.11182570740170467,1.0,0.0002662985245670021,1.165105735423045,29.689506940445977,0.009487579331685897,59.379013880891954,0.006930192027156025,100.0,0.5
2,lambda5,random_pair,1.5955171929222078,1.614942141976544,0.15990830152661265,1.0,0.0002942166317724821,1.614942141976544,41.01867946496729,0.009487579331685897,82.03735892993458,0.009643153090877687,100.0,0.5
2,lambda5,entropy,0.9082678302224934,0.9247544279622092,0.11161662895061088,1.0,0.0002825541624236502,1.0976317663076405,24.233673634149437,0.009487579331685897,59.379013880891954,0.006716464245606129,100.0,0.40811849254956695
3,lambda5,analytic,0.013192713652525256,0.015623850275102205,0.06765567481279519,1.0,0.00010818499517526371,0.015623850275102205,0.0,0.0011369144976924872,44.149047083517196,0.0011860371297091957,100.0,0.0
3,lambda5,neural,1.2867606806184744,1.2976597496673101,0.06922312077665614,1.0,7.665773600734449e-05,1.2976597496673101,36.725098393638255,0.009474599990519495,36.725098393638255,0.0013478113223089334,100.0,1.0
3,lambda5,period2,0.8394970119327074,0.8541391019979684,0.07785079815445095,1.0,0.00025288279774313973,0.8541391019979684,23.912069742058417,0.009487579331685897,46.97036709254156,0.004901627935832032,100.0,0.5090884151479289
3,lambda5,random_pair,0.8639299324443831,0.878405235754921,0.0805016215028645,1.0,0.00024885616930398613,0.878405235754921,24.535710699590965,0.009487579331685897,48.21764900760666,0.004738867809547997,100.0,0.508853318329981
3,lambda5,entropy,0.6337891644882628,0.6480900652261783,0.0758613138710945,1.0,0.00024330086690127598,0.8209674035716096,17.748691652611328,0.009487579331685897,45.262822309391005,0.004570020539328376,100.0,0.39212516469457714
4,lambda5,analytic,0.023731997832134012,0.026963205793096853,0.11091823621345122,1.0,0.0001003978389231383,0.026963205793096853,0.0,0.0011369144976924872,72.07110180363303,0.0019938956243472157,100.0,0.0
4,lambda5,neural,1.4813082218796223,1.4924443788656478,0.07863139012615784,1.0,7.476784191349073e-05,1.4924443788656478,42.68806149041749,0.009474599990519495,42.68806149041749,0.0015867891535926875,100.0,1.0
4,lambda5,period2,1.621545182906372,1.6408539747882933,0.15948822987688213,1.0,0.00026665648304805803,1.6408539747882933,44.52653198046423,0.009487579331685897,89.02190206952508,0.009554556067187511,100.0,0.5001750237339292
4,lambda5,random_pair,0.7807636636950324,0.7949915380872501,0.07511024274895331,1.0,0.0002593699804018967,0.7949915380872501,21.306869756695782,0.009487579331685897,42.58257762198821,0.004480925080130006,100.0,0.5003658995432355
